Exam_Code,Certification_Name,Vendor,Level,Overview,Objective,Learning_Path
Microsoft Applied Skills,Build an Azure AI Vision solution,Microsoft,Intermediate,"To earn this Microsoft Applied Skills credential, learners demonstrate the ability to build computer vision solutions by using Azure AI Vision.","To earn this Microsoft Applied Skills credential, learners demonstrate the ability to build computer vision solutions by using Azure AI Vision. Candidates for this credential should have a solid understanding of working with Azure AI Vision models, both prebuilt and custom, through Vision Studio and in code. They should also have experience programming in either Python or C, be familiar with the Azure portal, and be comfortable provisioning Azure AI resources.", Module 1. Develop computer vision solutions in Azure.
Microsoft Applied Skills,Build collaborative apps for Microsoft Teams,Microsoft,Intermediate,This Applied Skills assessment has been retired.Explore other Applied Skillsto keep building your skills.,"This Applied Skills assessment has been retired.Explore other Applied Skillsto keep building your skills. To earn this Microsoft Applied Skills credential, learners demonstrate the ability to develop custom apps for the Microsoft Teams platform. Candidates for this credential should have experience developing applications that use Microsoft Graph API and the Microsoft identity platform. Candidates should be familiar with:", Module 1. Develop computer vision solutions in Azure.
Microsoft Applied Skills,Build distributed apps with .NET Aspire,Microsoft,Advanced,This Applied Skills assessment has been retired.Explore other Applied Skillsto keep building your skills.,"This Applied Skills assessment has been retired.Explore other Applied Skillsto keep building your skills. To earn this Microsoft Applied Skills credential, learners demonstrate the ability to build distributed apps with .NET Aspire. Candidates for this credential should have experience building .NET apps and containerized solutions with C.", Module 1. Develop computer vision solutions in Azure.
Microsoft Applied Skills,Configure SIEM security operations using Microsoft Sentinel,Microsoft,Intermediate,This Applied Skills assessment has been retired.Explore other Applied Skillsto keep building your skills.,"This Applied Skills assessment has been retired.Explore other Applied Skillsto keep building your skills. To earn this Microsoft Applied Skills credential, learners demonstrate the ability to set up and configure Microsoft Sentinel. Candidates for this credential should be familiar with Microsoft Security, compliance, and identity products; the Azure portal; and Azure administration, including role-based access control (RBAC).", Module 1. Configure SIEM security operations using Microsoft Sentinel.
Microsoft Applied Skills,Configure and migrate to Azure Database for PostgreSQL,Microsoft,Intermediate,"To earn this Microsoft Applied Skills credential, learners demonstrate the ability to migrate a PostgreSQL database to and configure a database in Azure Database for PostgreSQL.","To earn this Microsoft Applied Skills credential, learners demonstrate the ability to migrate a PostgreSQL database to and configure a database in Azure Database for PostgreSQL. Candidates for this credential should understand PostgreSQL query processing, procedures and functions in PostgreSQL, Azure Database for PostgreSQL security, and Azure networking. They should also have experience working with PostgreSQL databases, tuning queries in Azure Database for PostgreSQL, and configuring and managing Azure Database for PostgreSQL.", Module 1. Configure and migrate to Azure Database for PostgreSQL.
Microsoft Applied Skills,Configure secure access to your workloads using Azure networking,Microsoft,Intermediate,"To earn this Microsoft Applied Skills credential, learners demonstrate the ability to secure resources by using Azure virtual networking solutions.","To earn this Microsoft Applied Skills credential, learners demonstrate the ability to secure resources by using Azure virtual networking solutions. Candidates for this credential should be familiar with Azure services, the Azure portal, and basic networking, DNS, and Azure Firewall concepts.", Module 1. Configure secure access to your workloads using Azure virtual networking.
Microsoft Applied Skills,Create agents in Microsoft Copilot Studio,Microsoft,Intermediate,"To earn this Microsoft Applied Skills credential, learners demonstrate the ability to create custom agents with Microsoft Copilot Studio.","To earn this Microsoft Applied Skills credential, learners demonstrate the ability to create custom agents with Microsoft Copilot Studio. Candidates for this credential should have experience with Copilot Studio, Microsoft Teams, and Microsoft Power Platform.", Module 1. Create agents in Microsoft Copilot Studio.
Microsoft Applied Skills,Create an intelligent document processing solution with Azure AI Document Intelligence,Microsoft,Intermediate,This Applied Skills assessment has been retired.Explore other Applied Skillsto keep building your skills.,"This Applied Skills assessment has been retired.Explore other Applied Skillsto keep building your skills. To earn this Microsoft Applied Skills credential, learners demonstrate the ability to create and implement Azure AI Document Intelligence solutions. Candidates for this credential should have a solid understanding of creating and using Document Intelligence models through both Document Intelligence Studio and in code. They should also have experience programming in either Python or C, be familiar with the Azure portal, and be comfortable provisioning Azure AI resources.", Module 1. Create agents in Microsoft Copilot Studio.
Microsoft Applied Skills,Create and manage automated processes by using Power Automate,Microsoft,Intermediate,"To earn this Microsoft Applied Skills credential, learners demonstrate the ability to create and manage automated processes with Power Automate.","To earn this Microsoft Applied Skills credential, learners demonstrate the ability to create and manage automated processes with Power Automate. Candidates should be familiar with Microsoft Power Platform and Power Automate and should have subject matter expertise in automating business processes.", Module 1. Create and Manage Automated Processes by using Power Automate.
Microsoft Applied Skills,Create and manage canvas apps with Power Apps,Microsoft,Intermediate,"To earn this Microsoft Applied Skills credential, learners demonstrate the ability to solve business problems by creating canvas apps with Microsoft Power Platform.","To earn this Microsoft Applied Skills credential, learners demonstrate the ability to solve business problems by creating canvas apps with Microsoft Power Platform. Candidates for this credential should understand application development, writing formulas such as those in Excel, and creating, reading, updating, and deleting data.", Module 1. Create and manage canvas apps with Power Apps.
